,target2,prime2,rt,key,participant,primetype,relationtype,Primert
78,ВЫБРАТЬ,вибрация,0.716135,j,Alexander_L1,related,orthographic,ort
81,ЕХАТЬ,машина,0.68713,j,goncolg_L1,related,semantic,sem
82,СПАТЬ,сон,0.693605,j,goncolg_L1,related,semantic,sem
83,ЖЕЛАТЬ,надежда,2.87354,j,goncolg_L1,related,semantic,sem
84,ИСКАТЬ,найти,0.72704,j,goncolg_L1,related,semantic,sem
85,УБИТЬ,мертвый,0.75949,j,goncolg_L1,related,semantic,sem
86,КУРИТЬ,сигарета,0.768165,j,goncolg_L1,related,semantic,sem
87,НОСИТЬ,одежда,0.79011,j,goncolg_L1,related,semantic,sem
88,НАЧАТЬ,старт,0.66607,j,goncolg_L1,related,semantic,sem
89,ПИТЬ,вода,0.75203,j,goncolg_L1,related,semantic,sem
90,СЧИТАТЬ,мнение,1.259715,j,goncolg_L1,related,semantic,sem
91,ПОМНИТЬ,память,1.01111,j,goncolg_L1,related,semantic,sem
92,ПЛАКАТЬ,слезы,0.83416,j,goncolg_L1,related,semantic,sem
93,ХВАТИТЬ,достаточно,0.88294,j,goncolg_L1,related,semantic,sem
94,ДУМАТЬ,мысль,1.124915,j,goncolg_L1,related,semantic,sem
95,СЛЫШАТЬ,ухо,0.90281,j,goncolg_L1,related,semantic,sem
96,ВЕРНУТЬ,возвращение,0.892505,j,goncolg_L1,related,semantic,sem
97,ПИСАТЬ,карандаш,0.809495,j,goncolg_L1,related,semantic,sem
98,ГОВОРИТЬ,общение,0.815145,j,goncolg_L1,related,semantic,sem
99,ЗАЯВИТЬ,сообщение,0.97562,j,goncolg_L1,related,semantic,sem
100,СТРАДАТЬ,странный,0.75902,j,goncolg_L1,related,orthographic,ort
101,СМОТРЕТЬ,смоленск,0.904,j,goncolg_L1,related,orthographic,ort
102,СТОЯТЬ,столько,0.701245,j,goncolg_L1,related,orthographic,ort
103,ИГРАТЬ,гранит,0.71931,j,goncolg_L1,related,orthographic,ort
104,СТАВИТЬ,старик,1.25379,j,goncolg_L1,related,orthographic,ort
105,СЛУШАТЬ,случай,0.67636,j,goncolg_L1,related,orthographic,ort
106,ПРОСИТЬ,протеин,0.65935,j,goncolg_L1,related,orthographic,ort
107,МЕШАТЬ,ремешки,1.239395,j,goncolg_L1,related,orthographic,ort
108,ТЕРПЕТЬ,теперь,1.755915,j,goncolg_L1,related,orthographic,ort
109,ТЕРЯТЬ,террор,0.86981,j,goncolg_L1,related,orthographic,ort
110,СИДЕТЬ,синее,1.61639,j,goncolg_L1,related,orthographic,ort
111,ЧИТАТЬ,цитата,0.927,j,goncolg_L1,related,orthographic,ort
112,ДЕРЖАТЬ,деревня,1.003855,j,goncolg_L1,related,orthographic,ort
113,ВЕРИТЬ,вертолет,0.82439,j,goncolg_L1,related,orthographic,ort
114,ЗВОНИТЬ,вонючий,0.91501,j,goncolg_L1,related,orthographic,ort
115,СОЗДАТЬ,здание,0.784305,j,goncolg_L1,related,orthographic,ort
116,СТРОИТЬ,строгий,0.78268,j,goncolg_L1,related,orthographic,ort
117,СОБРАТЬ,образ,0.86649,j,goncolg_L1,related,orthographic,ort
118,ВЫБРАТЬ,вибрация,0.79463,j,goncolg_L1,related,orthographic,ort
119,ТРАТИТЬ,транслит,1.146285,j,goncolg_L1,related,orthographic,ort
120,ЛЕТЕТЬ,птица,0.603175,j,kaisla7,related,semantic,sem
121,ЕХАТЬ,машина,0.67801,j,kaisla7,related,semantic,sem
122,СПАТЬ,сон,0.66107,j,kaisla7,related,semantic,sem
123,ЖЕЛАТЬ,надежда,,,kaisla7,related,semantic,sem
124,ИСКАТЬ,найти,1.14063,j,kaisla7,related,semantic,sem
125,УБИТЬ,мертвый,0.64345,j,kaisla7,related,semantic,sem
126,КУРИТЬ,сигарета,0.595895,j,kaisla7,related,semantic,sem
127,НОСИТЬ,одежда,0.6155,j,kaisla7,related,semantic,sem
128,НАЧАТЬ,старт,0.59435,j,kaisla7,related,semantic,sem
129,ПИТЬ,вода,0.62537,j,kaisla7,related,semantic,sem
130,СЧИТАТЬ,мнение,0.87668,j,kaisla7,related,semantic,sem
131,ПОМНИТЬ,память,0.551025,j,kaisla7,related,semantic,sem
132,ПЛАКАТЬ,слезы,0.53746,j,kaisla7,related,semantic,sem
133,ХВАТИТЬ,достаточно,0.670955,j,kaisla7,related,semantic,sem
134,ДУМАТЬ,мысль,0.670615,j,kaisla7,related,semantic,sem
135,СЛЫШАТЬ,ухо,0.593615,j,kaisla7,related,semantic,sem
136,ВЕРНУТЬ,возвращение,0.2336,j,kaisla7,related,semantic,sem
137,ПИСАТЬ,карандаш,0.64562,j,kaisla7,related,semantic,sem
138,ГОВОРИТЬ,общение,0.56971,j,kaisla7,related,semantic,sem
139,ЗАЯВИТЬ,сообщение,0.58475,j,kaisla7,related,semantic,sem
140,СТРАДАТЬ,странный,0.37205,j,kaisla7,related,orthographic,ort
141,СМОТРЕТЬ,смоленск,0.51578,j,kaisla7,related,orthographic,ort
142,СТОЯТЬ,столько,0.687845,j,kaisla7,related,orthographic,ort
143,ИГРАТЬ,гранит,0.57783,j,kaisla7,related,orthographic,ort
144,СТАВИТЬ,старик,0.568595,j,kaisla7,related,orthographic,ort
145,СЛУШАТЬ,случай,0.63925,j,kaisla7,related,orthographic,ort
146,ПРОСИТЬ,протеин,0.63396,j,kaisla7,related,orthographic,ort
147,МЕШАТЬ,ремешки,1.522555,j,kaisla7,related,orthographic,ort
148,ТЕРПЕТЬ,теперь,0.710035,j,kaisla7,related,orthographic,ort
149,ТЕРЯТЬ,террор,0.910835,j,kaisla7,related,orthographic,ort
150,СИДЕТЬ,синее,0.485045,j,kaisla7,related,orthographic,ort
151,ЧИТАТЬ,цитата,1.739655,j,kaisla7,related,orthographic,ort
152,ДЕРЖАТЬ,деревня,0.71302,j,kaisla7,related,orthographic,ort
153,ВЕРИТЬ,вертолет,0.70282,j,kaisla7,related,orthographic,ort
154,ЗВОНИТЬ,вонючий,0.599905,j,kaisla7,related,orthographic,ort
155,СОЗДАТЬ,здание,0.568235,j,kaisla7,related,orthographic,ort
156,СТРОИТЬ,строгий,0.54845,j,kaisla7,related,orthographic,ort
157,СОБРАТЬ,образ,0.865235,j,kaisla7,related,orthographic,ort
158,ВЫБРАТЬ,вибрация,0.711825,j,kaisla7,related,orthographic,ort
159,ТРАТИТЬ,транслит,1.057235,j,kaisla7,related,orthographic,ort
160,ЛЕТЕТЬ,птица,0.737,j,tami_L1,related,semantic,sem
161,ЕХАТЬ,машина,0.865,j,tami_L1,related,semantic,sem
162,СПАТЬ,сон,1.855,j,tami_L1,related,semantic,sem
163,ЖЕЛАТЬ,надежда,0.831,j,tami_L1,related,semantic,sem
164,ИСКАТЬ,найти,0.804,j,tami_L1,related,semantic,sem
165,УБИТЬ,мертвый,0.988,j,tami_L1,related,semantic,sem
166,КУРИТЬ,сигарета,0.773,j,tami_L1,related,semantic,sem
167,НОСИТЬ,одежда,0.851,j,tami_L1,related,semantic,sem
168,НАЧАТЬ,старт,0.681,j,tami_L1,related,semantic,sem
169,ПИТЬ,вода,0.819,j,tami_L1,related,semantic,sem
170,СЧИТАТЬ,мнение,1.133,j,tami_L1,related,semantic,sem
171,ПОМНИТЬ,память,0.722,j,tami_L1,related,semantic,sem
172,ПЛАКАТЬ,слезы,1.021,j,tami_L1,related,semantic,sem
173,ХВАТИТЬ,достаточно,1.781,j,tami_L1,related,semantic,sem
174,ДУМАТЬ,мысль,0.849,j,tami_L1,related,semantic,sem
175,СЛЫШАТЬ,ухо,0.758,j,tami_L1,related,semantic,sem
176,ВЕРНУТЬ,возвращение,0.904,j,tami_L1,related,semantic,sem
177,ПИСАТЬ,карандаш,0.689,j,tami_L1,related,semantic,sem
178,ГОВОРИТЬ,общение,0.762,j,tami_L1,related,semantic,sem
179,ЗАЯВИТЬ,сообщение,0.84,j,tami_L1,related,semantic,sem
180,СТРАДАТЬ,странный,0.754,j,tami_L1,related,orthographic,ort
181,СМОТРЕТЬ,смоленск,0.888,j,tami_L1,related,orthographic,ort
182,СТОЯТЬ,столько,1.002,j,tami_L1,related,orthographic,ort
183,ИГРАТЬ,гранит,0.738,j,tami_L1,related,orthographic,ort
184,СТАВИТЬ,старик,0.97,j,tami_L1,related,orthographic,ort
185,СЛУШАТЬ,случай,1.689,j,tami_L1,related,orthographic,ort
186,ПРОСИТЬ,протеин,0.805,j,tami_L1,related,orthographic,ort
187,МЕШАТЬ,ремешки,0.821,j,tami_L1,related,orthographic,ort
188,ТЕРПЕТЬ,теперь,0.819,j,tami_L1,related,orthographic,ort
189,ТЕРЯТЬ,террор,0.887,j,tami_L1,related,orthographic,ort
190,СИДЕТЬ,синее,0.881,j,tami_L1,related,orthographic,ort
191,ЧИТАТЬ,цитата,0.771,j,tami_L1,related,orthographic,ort
192,ДЕРЖАТЬ,деревня,0.937,j,tami_L1,related,orthographic,ort
193,ВЕРИТЬ,вертолет,0.713,j,tami_L1,related,orthographic,ort
194,ЗВОНИТЬ,вонючий,0.989,j,tami_L1,related,orthographic,ort
195,СОЗДАТЬ,здание,1.107,j,tami_L1,related,orthographic,ort
196,СТРОИТЬ,строгий,0.79,j,tami_L1,related,orthographic,ort
197,СОБРАТЬ,образ,1.018,j,tami_L1,related,orthographic,ort
198,ВЫБРАТЬ,вибрация,0.856,j,tami_L1,related,orthographic,ort
199,ТРАТИТЬ,транслит,0.789,j,tami_L1,related,orthographic,ort
,ЛЕТЕТЬ,лететь,0.558,j,Alina,identity,semantic,id
,ЕХАТЬ,ехать,0.573,j,Alina,identity,semantic,id
,СПАТЬ,спать,0.424,j,Alina,identity,semantic,id
,ЖЕЛАТЬ,желать,0.499,j,Alina,identity,semantic,id
,ИСКАТЬ,искать,0.422,j,Alina,identity,semantic,id
,УБИТЬ,убить,0.406,j,Alina,identity,semantic,id
,КУРИТЬ,курить,0.496,j,Alina,identity,semantic,id
,НОСИТЬ,носить,0.522,j,Alina,identity,semantic,id
,НАЧАТЬ,начать,0.496,j,Alina,identity,semantic,id
,ПИТЬ,пить,0.543,j,Alina,identity,semantic,id
,СЧИТАТЬ,считать,0.469,j,Alina,identity,semantic,id
,ПОМНИТЬ,помнить,0.538,j,Alina,identity,semantic,id
,ПЛАКАТЬ,плакать,0.566,j,Alina,identity,semantic,id
,ХВАТИТЬ,хватить,0.434,j,Alina,identity,semantic,id
,ДУМАТЬ,думать,0.592,j,Alina,identity,semantic,id
,СЛЫШАТЬ,слышать,0.455,j,Alina,identity,semantic,id
,ВЕРНУТЬ,вернуть,0.516,j,Alina,identity,semantic,id
,ПИСАТЬ,писать,0.456,j,Alina,identity,semantic,id
,ГОВОРИТЬ,говорить,0.58,j,Alina,identity,semantic,id
,ЗАЯВИТЬ,заявить,0.479,j,Alina,identity,semantic,id
,СТРАДАТЬ,страдать,0.526,j,Alina,identity,orthographic,id
,СМОТРЕТЬ,смотреть,0.502,j,Alina,identity,orthographic,id
,СТОЯТЬ,стоять,0.524,j,Alina,identity,orthographic,id
,ИГРАТЬ,играть,0.522,j,Alina,identity,orthographic,id
,СЛУШАТЬ,слушать,0.482,j,Alina,identity,orthographic,id
,ПРОСИТЬ,просить,0.535,j,Alina,identity,orthographic,id
,МЕШАТЬ,мешать,0.722,j,Alina,identity,orthographic,id
,ТЕРПЕТЬ,терпеть,0.538,j,Alina,identity,orthographic,id
,ТЕРЯТЬ,терять,0.508,j,Alina,identity,orthographic,id
,СИДЕТЬ,сидеть,0.605,j,Alina,identity,orthographic,id
,ЧИТАТЬ,читать,0.502,j,Alina,identity,orthographic,id
,ДЕРЖАТЬ,держать,0.436,j,Alina,identity,orthographic,id
,ВЕРИТЬ,верить,0.516,j,Alina,identity,orthographic,id
,ЗВОНИТЬ,звонить,0.401,j,Alina,identity,orthographic,id
,СОЗДАТЬ,создать,0.386,j,Alina,identity,orthographic,id
,СТРОИТЬ,строить,0.445,j,Alina,identity,orthographic,id
,СОБРАТЬ,собрать,0.552,j,Alina,identity,orthographic,id
,ВЫБРАТЬ,выбрать,0.513,j,Alina,identity,orthographic,id
,ТРАТИТЬ,тратить,0.466,j,Alina,identity,orthographic,id
,ЛЕТЕТЬ,лететь,0.677,j,danna_L1,identity,semantic,id
,ЕХАТЬ,ехать,0.6782,j,danna_L1,identity,semantic,id
,СПАТЬ,спать,0.6644,j,danna_L1,identity,semantic,id
,ЖЕЛАТЬ,желать,0.5367,j,danna_L1,identity,semantic,id
,ИСКАТЬ,искать,0.6527,j,danna_L1,identity,semantic,id
,УБИТЬ,убить,1.0171,j,danna_L1,identity,semantic,id
,КУРИТЬ,курить,0.5707,j,danna_L1,identity,semantic,id
,НОСИТЬ,носить,0.7547,j,danna_L1,identity,semantic,id
,НАЧАТЬ,начать,0.5774,j,danna_L1,identity,semantic,id
,ПИТЬ,пить,0.5317,j,danna_L1,identity,semantic,id
,СЧИТАТЬ,считать,0.9847,j,danna_L1,identity,semantic,id
,ПОМНИТЬ,помнить,0.7157,j,danna_L1,identity,semantic,id
,ПЛАКАТЬ,плакать,0.5503,j,danna_L1,identity,semantic,id
,ХВАТИТЬ,хватить,0.6298,j,danna_L1,identity,semantic,id
,ДУМАТЬ,думать,0.5795,j,danna_L1,identity,semantic,id
,СЛЫШАТЬ,слышать,0.5659,j,danna_L1,identity,semantic,id
,ВЕРНУТЬ,вернуть,0.5999,j,danna_L1,identity,semantic,id
,ПИСАТЬ,писать,0.6457,j,danna_L1,identity,semantic,id
,ГОВОРИТЬ,говорить,0.5748,j,danna_L1,identity,semantic,id
,ЗАЯВИТЬ,заявить,0.884,j,danna_L1,identity,semantic,id
,СТРАДАТЬ,страдать,1.2789,j,danna_L1,identity,orthographic,id
,СМОТРЕТЬ,смотреть,0.6576,j,danna_L1,identity,orthographic,id
,СТОЯТЬ,стоять,0.7184,j,danna_L1,identity,orthographic,id
,ИГРАТЬ,играть,0.756,j,danna_L1,identity,orthographic,id
,СТАВИТЬ,ставить,0.746,j,danna_L1,identity,orthographic,id
,СЛУШАТЬ,слушать,0.6653,j,danna_L1,identity,orthographic,id
,ПРОСИТЬ,просить,0.7747,j,danna_L1,identity,orthographic,id
,МЕШАТЬ,мешать,0.678,j,danna_L1,identity,orthographic,id
,ТЕРПЕТЬ,терпеть,0.6297,j,danna_L1,identity,orthographic,id
,ТЕРЯТЬ,терять,0.6476,j,danna_L1,identity,orthographic,id
,СИДЕТЬ,сидеть,0.5967,j,danna_L1,identity,orthographic,id
,ЧИТАТЬ,читать,0.4852,j,danna_L1,identity,orthographic,id
,ДЕРЖАТЬ,держать,0.537,j,danna_L1,identity,orthographic,id
,ВЕРИТЬ,верить,0.5941,j,danna_L1,identity,orthographic,id
,ЗВОНИТЬ,звонить,0.668,j,danna_L1,identity,orthographic,id
,СОЗДАТЬ,создать,1.276,j,danna_L1,identity,orthographic,id
,СТРОИТЬ,строить,0.5223,j,danna_L1,identity,orthographic,id
,СОБРАТЬ,собрать,0.6681,j,danna_L1,identity,orthographic,id
,ВЫБРАТЬ,выбрать,0.5215,j,danna_L1,identity,orthographic,id
,ТРАТИТЬ,тратить,0.6474,j,danna_L1,identity,orthographic,id
,ЛЕТЕТЬ,лететь,0.6519,j,Inessa_L1,identity,semantic,id
,ЕХАТЬ,ехать,0.5315,j,Inessa_L1,identity,semantic,id
,СПАТЬ,спать,0.5703,j,Inessa_L1,identity,semantic,id
,ЖЕЛАТЬ,желать,0.6513,j,Inessa_L1,identity,semantic,id
,ИСКАТЬ,искать,0.5804,j,Inessa_L1,identity,semantic,id
,УБИТЬ,убить,0.5966,j,Inessa_L1,identity,semantic,id
,КУРИТЬ,курить,0.6184,j,Inessa_L1,identity,semantic,id
,НОСИТЬ,носить,0.5707,j,Inessa_L1,identity,semantic,id
,НАЧАТЬ,начать,0.6037,j,Inessa_L1,identity,semantic,id
,ПИТЬ,пить,0.5662,j,Inessa_L1,identity,semantic,id
,ПОМНИТЬ,помнить,0.6386,j,Inessa_L1,identity,semantic,id
,ПЛАКАТЬ,плакать,0.6175,j,Inessa_L1,identity,semantic,id
,ХВАТИТЬ,хватить,0.6832,j,Inessa_L1,identity,semantic,id
,ДУМАТЬ,думать,0.4634,j,Inessa_L1,identity,semantic,id
,СЛЫШАТЬ,слышать,0.651,j,Inessa_L1,identity,semantic,id
,ВЕРНУТЬ,вернуть,0.6123,j,Inessa_L1,identity,semantic,id
,ПИСАТЬ,писать,0.6534,j,Inessa_L1,identity,semantic,id
,ГОВОРИТЬ,говорить,0.569,j,Inessa_L1,identity,semantic,id
,ЗАЯВИТЬ,заявить,0.553,j,Inessa_L1,identity,semantic,id
,СТРАДАТЬ,страдать,0.5842,j,Inessa_L1,identity,orthographic,id
,СМОТРЕТЬ,смотреть,0.4829,j,Inessa_L1,identity,orthographic,id
,СТОЯТЬ,стоять,0.6717,j,Inessa_L1,identity,orthographic,id
,ИГРАТЬ,играть,0.6666,j,Inessa_L1,identity,orthographic,id
,СТАВИТЬ,ставить,0.6814,j,Inessa_L1,identity,orthographic,id
,СЛУШАТЬ,слушать,0.5336,j,Inessa_L1,identity,orthographic,id
,ПРОСИТЬ,просить,0.5366,j,Inessa_L1,identity,orthographic,id
,МЕШАТЬ,мешать,0.7694,j,Inessa_L1,identity,orthographic,id
,ТЕРПЕТЬ,терпеть,0.5554,j,Inessa_L1,identity,orthographic,id
,ТЕРЯТЬ,терять,0.6377,j,Inessa_L1,identity,orthographic,id
,СИДЕТЬ,сидеть,0.6213,j,Inessa_L1,identity,orthographic,id
,ЧИТАТЬ,читать,0.6162,j,Inessa_L1,identity,orthographic,id
,ДЕРЖАТЬ,держать,0.5865,j,Inessa_L1,identity,orthographic,id
,ВЕРИТЬ,верить,0.5613,j,Inessa_L1,identity,orthographic,id
,ЗВОНИТЬ,звонить,0.6144,j,Inessa_L1,identity,orthographic,id
,СОЗДАТЬ,создать,0.5531,j,Inessa_L1,identity,orthographic,id
,СТРОИТЬ,строить,0.6228,j,Inessa_L1,identity,orthographic,id
,СОБРАТЬ,собрать,0.5372,j,Inessa_L1,identity,orthographic,id
,ВЫБРАТЬ,выбрать,0.6339,j,Inessa_L1,identity,orthographic,id
,ТРАТИТЬ,тратить,0.5999,j,Inessa_L1,identity,orthographic,id
,ЛЕТЕТЬ,лететь,0.753,j,JVL1,identity,semantic,id
,ЕХАТЬ,ехать,0.918,j,JVL1,identity,semantic,id
,СПАТЬ,спать,0.665,j,JVL1,identity,semantic,id
,ЖЕЛАТЬ,желать,0.831,j,JVL1,identity,semantic,id
,ИСКАТЬ,искать,0.983,j,JVL1,identity,semantic,id
,УБИТЬ,убить,0.8,j,JVL1,identity,semantic,id
,КУРИТЬ,курить,0.886,j,JVL1,identity,semantic,id
,НОСИТЬ,носить,0.888,j,JVL1,identity,semantic,id
,НАЧАТЬ,начать,0.885,j,JVL1,identity,semantic,id
,ПИТЬ,пить,0.954,j,JVL1,identity,semantic,id
,СЧИТАТЬ,считать,1.072,j,JVL1,identity,semantic,id
,ПОМНИТЬ,помнить,1.057,j,JVL1,identity,semantic,id
,ПЛАКАТЬ,плакать,0.89,j,JVL1,identity,semantic,id
,ХВАТИТЬ,хватить,1.166,j,JVL1,identity,semantic,id
,ДУМАТЬ,думать,0.816,j,JVL1,identity,semantic,id
,СЛЫШАТЬ,слышать,0.786,j,JVL1,identity,semantic,id
,ВЕРНУТЬ,вернуть,1.115,j,JVL1,identity,semantic,id
,ПИСАТЬ,писать,0.701,j,JVL1,identity,semantic,id
,ГОВОРИТЬ,говорить,0.64,j,JVL1,identity,semantic,id
,ЗАЯВИТЬ,заявить,0.798,j,JVL1,identity,semantic,id
,СТРАДАТЬ,страдать,0.733,j,JVL1,identity,orthographic,id
,СМОТРЕТЬ,смотреть,0.896,j,JVL1,identity,orthographic,id
,СТОЯТЬ,стоять,0.985,j,JVL1,identity,orthographic,id
,ИГРАТЬ,играть,0.735,j,JVL1,identity,orthographic,id
,СТАВИТЬ,ставить,1.08,j,JVL1,identity,orthographic,id
,СЛУШАТЬ,слушать,0.748,j,JVL1,identity,orthographic,id
,ПРОСИТЬ,просить,0.881,j,JVL1,identity,orthographic,id
,МЕШАТЬ,мешать,1.319,j,JVL1,identity,orthographic,id
,ТЕРПЕТЬ,терпеть,0.747,j,JVL1,identity,orthographic,id
,ТЕРЯТЬ,терять,1.218,j,JVL1,identity,orthographic,id
,СИДЕТЬ,сидеть,0.846,j,JVL1,identity,orthographic,id
,ЧИТАТЬ,читать,0.735,j,JVL1,identity,orthographic,id
,ДЕРЖАТЬ,держать,0.739,j,JVL1,identity,orthographic,id
,ВЕРИТЬ,верить,0.747,j,JVL1,identity,orthographic,id
,ЗВОНИТЬ,звонить,0.707,j,JVL1,identity,orthographic,id
,СОЗДАТЬ,создать,1.152,j,JVL1,identity,orthographic,id
,СТРОИТЬ,строить,0.868,j,JVL1,identity,orthographic,id
,СОБРАТЬ,собрать,0.734,j,JVL1,identity,orthographic,id
,ВЫБРАТЬ,выбрать,1.249,j,JVL1,identity,orthographic,id
,ТРАТИТЬ,тратить,0.9,j,JVL1,identity,orthographic,id
,ЛЕТЕТЬ,лететь,0.65,j,Pavel_L1,identity,semantic,id
,ЕХАТЬ,ехать,0.79,j,Pavel_L1,identity,semantic,id
,СПАТЬ,спать,0.731,j,Pavel_L1,identity,semantic,id
,ЖЕЛАТЬ,желать,0.574,j,Pavel_L1,identity,semantic,id
,ИСКАТЬ,искать,0.516,j,Pavel_L1,identity,semantic,id
,УБИТЬ,убить,0.483,j,Pavel_L1,identity,semantic,id
,КУРИТЬ,курить,0.551,j,Pavel_L1,identity,semantic,id
,НОСИТЬ,носить,0.589,j,Pavel_L1,identity,semantic,id
,НАЧАТЬ,начать,0.475,j,Pavel_L1,identity,semantic,id
,ПИТЬ,пить,0.555,j,Pavel_L1,identity,semantic,id
